,Unnamed: 0,id,EstimateGiniIndex,year,countyname
0,0,0500000US25001,0.4542,2019,BARNSTABLE
1,1,0500000US25003,0.4621,2019,BERKSHIRE
2,2,0500000US25005,0.4579,2019,BRISTOL
3,3,0500000US25007,0.499,2019,DUKES
4,4,0500000US25009,0.4816,2019,ESSEX
5,5,0500000US25011,0.4541,2019,FRANKLIN
6,6,0500000US25013,0.4731,2019,HAMPDEN
7,7,0500000US25015,0.4532,2019,HAMPSHIRE
8,8,0500000US25017,0.4638,2019,MIDDLESEX
9,9,0500000US25019,0.4936,2019,NANTUCKET
10,10,0500000US25021,0.4766,2019,NORFOLK
11,11,0500000US25023,0.4539,2019,PLYMOUTH
12,12,0500000US25025,0.5327,2019,SUFFOLK
13,13,0500000US25027,0.4551,2019,WORCESTER
14,0,0500000US25001,0.4589,2018,BARNSTABLE
15,1,0500000US25003,0.4645,2018,BERKSHIRE
16,2,0500000US25005,0.4563,2018,BRISTOL
17,3,0500000US25007,0.502,2018,DUKES
18,4,0500000US25009,0.484,2018,ESSEX
19,5,0500000US25011,0.4533,2018,FRANKLIN
20,6,0500000US25013,0.4704,2018,HAMPDEN
21,7,0500000US25015,0.4621,2018,HAMPSHIRE
22,8,0500000US25017,0.468,2018,MIDDLESEX
23,9,0500000US25019,0.4775,2018,NANTUCKET
24,10,0500000US25021,0.4774,2018,NORFOLK
25,11,0500000US25023,0.4494,2018,PLYMOUTH
26,12,0500000US25025,0.5365,2018,SUFFOLK
27,13,0500000US25027,0.4553,2018,WORCESTER
28,0,0500000US25001,0.4602,2014,BARNSTABLE
29,1,0500000US25003,0.4723,2014,BERKSHIRE
30,2,0500000US25005,0.4541,2014,BRISTOL
31,3,0500000US25007,0.4654,2014,DUKES
32,4,0500000US25009,0.4761,2014,ESSEX
33,5,0500000US25011,0.4257,2014,FRANKLIN
34,6,0500000US25013,0.4668,2014,HAMPDEN
35,7,0500000US25015,0.4529,2014,HAMPSHIRE
36,8,0500000US25017,0.4728,2014,MIDDLESEX
37,9,0500000US25019,0.4697,2014,NANTUCKET
38,10,0500000US25021,0.4757,2014,NORFOLK
39,11,0500000US25023,0.4409,2014,PLYMOUTH
40,12,0500000US25025,0.5299,2014,SUFFOLK
41,13,0500000US25027,0.4461,2014,WORCESTER
42,0,0500000US25001,0.443,2010,BARNSTABLE
43,1,0500000US25003,0.462,2010,BERKSHIRE
44,2,0500000US25005,0.442,2010,BRISTOL
45,3,0500000US25007,0.461,2010,DUKES
46,4,0500000US25009,0.471,2010,ESSEX
47,5,0500000US25011,0.411,2010,FRANKLIN
48,6,0500000US25013,0.459,2010,HAMPDEN
49,7,0500000US25015,0.435,2010,HAMPSHIRE
50,8,0500000US25017,0.461,2010,MIDDLESEX
51,9,0500000US25019,0.547,2010,NANTUCKET
52,10,0500000US25021,0.47,2010,NORFOLK
53,11,0500000US25023,0.425,2010,PLYMOUTH
54,12,0500000US25025,0.518,2010,SUFFOLK
55,13,0500000US25027,0.433,2010,WORCESTER
56,0,0500000US25001,0.4502,2011,BARNSTABLE
57,1,0500000US25003,0.4754,2011,BERKSHIRE
58,2,0500000US25005,0.4459,2011,BRISTOL
59,3,0500000US25007,0.443,2011,DUKES
60,4,0500000US25009,0.474,2011,ESSEX
61,5,0500000US25011,0.4145,2011,FRANKLIN
62,6,0500000US25013,0.4585,2011,HAMPDEN
63,7,0500000US25015,0.4411,2011,HAMPSHIRE
64,8,0500000US25017,0.4637,2011,MIDDLESEX
65,9,0500000US25019,0.512,2011,NANTUCKET
66,10,0500000US25021,0.4711,2011,NORFOLK
67,11,0500000US25023,0.4278,2011,PLYMOUTH
68,12,0500000US25025,0.5241,2011,SUFFOLK
69,13,0500000US25027,0.435,2011,WORCESTER
70,0,0500000US25001,0.457,2015,BARNSTABLE
71,1,0500000US25003,0.472,2015,BERKSHIRE
72,2,0500000US25005,0.4536,2015,BRISTOL
73,3,0500000US25007,0.5225,2015,DUKES
74,4,0500000US25009,0.4769,2015,ESSEX
75,5,0500000US25011,0.4349,2015,FRANKLIN
76,6,0500000US25013,0.4677,2015,HAMPDEN
77,7,0500000US25015,0.4606,2015,HAMPSHIRE
78,8,0500000US25017,0.4734,2015,MIDDLESEX
79,9,0500000US25019,0.4682,2015,NANTUCKET
80,10,0500000US25021,0.4751,2015,NORFOLK
81,11,0500000US25023,0.4468,2015,PLYMOUTH
82,12,0500000US25025,0.5327,2015,SUFFOLK
83,13,0500000US25027,0.4496,2015,WORCESTER
84,0,0500000US25001,0.4542,2012,BARNSTABLE
85,1,0500000US25003,0.4744,2012,BERKSHIRE
86,2,0500000US25005,0.4487,2012,BRISTOL
87,3,0500000US25007,0.4573,2012,DUKES
88,4,0500000US25009,0.4755,2012,ESSEX
89,5,0500000US25011,0.4176,2012,FRANKLIN
90,6,0500000US25013,0.4598,2012,HAMPDEN
91,7,0500000US25015,0.4372,2012,HAMPSHIRE
92,8,0500000US25017,0.4665,2012,MIDDLESEX
93,9,0500000US25019,0.4955,2012,NANTUCKET
94,10,0500000US25021,0.4731,2012,NORFOLK
95,11,0500000US25023,0.4336,2012,PLYMOUTH
96,12,0500000US25025,0.5245,2012,SUFFOLK
97,13,0500000US25027,0.4351,2012,WORCESTER
98,0,0500000US25001,0.4604,2016,BARNSTABLE
99,1,0500000US25003,0.4656,2016,BERKSHIRE
100,2,0500000US25005,0.4539,2016,BRISTOL
101,3,0500000US25007,0.5239,2016,DUKES
102,4,0500000US25009,0.4783,2016,ESSEX
103,5,0500000US25011,0.4438,2016,FRANKLIN
104,6,0500000US25013,0.4655,2016,HAMPDEN
105,7,0500000US25015,0.464,2016,HAMPSHIRE
106,8,0500000US25017,0.471,2016,MIDDLESEX
107,9,0500000US25019,0.46,2016,NANTUCKET
108,10,0500000US25021,0.4806,2016,NORFOLK
109,11,0500000US25023,0.4445,2016,PLYMOUTH
110,12,0500000US25025,0.5327,2016,SUFFOLK
111,13,0500000US25027,0.4516,2016,WORCESTER
112,0,0500000US25001,0.4585,2017,BARNSTABLE
113,1,0500000US25003,0.464,2017,BERKSHIRE
114,2,0500000US25005,0.4562,2017,BRISTOL
115,3,0500000US25007,0.5096,2017,DUKES
116,4,0500000US25009,0.4775,2017,ESSEX
117,5,0500000US25011,0.4514,2017,FRANKLIN
118,6,0500000US25013,0.4682,2017,HAMPDEN
119,7,0500000US25015,0.4597,2017,HAMPSHIRE
120,8,0500000US25017,0.4704,2017,MIDDLESEX
121,9,0500000US25019,0.4674,2017,NANTUCKET
122,10,0500000US25021,0.4771,2017,NORFOLK
123,11,0500000US25023,0.4468,2017,PLYMOUTH
124,12,0500000US25025,0.5344,2017,SUFFOLK
125,13,0500000US25027,0.4547,2017,WORCESTER
126,0,0500000US25001,0.4553,2013,BARNSTABLE
127,1,0500000US25003,0.4711,2013,BERKSHIRE
128,2,0500000US25005,0.4532,2013,BRISTOL
129,3,0500000US25007,0.4564,2013,DUKES
130,4,0500000US25009,0.472,2013,ESSEX
131,5,0500000US25011,0.42,2013,FRANKLIN
132,6,0500000US25013,0.4644,2013,HAMPDEN
133,7,0500000US25015,0.4443,2013,HAMPSHIRE
134,8,0500000US25017,0.4706,2013,MIDDLESEX
135,9,0500000US25019,0.479,2013,NANTUCKET
136,10,0500000US25021,0.4768,2013,NORFOLK
137,11,0500000US25023,0.4376,2013,PLYMOUTH
138,12,0500000US25025,0.5244,2013,SUFFOLK
139,13,0500000US25027,0.4393,2013,WORCESTER
